Nom,URL fiche,Adresse,Téléphone,Site Web,Image,Catégorie,Fichier image
Café du Parvis,https://www.menton-riviera-merveilles.fr/offres/cafe-du-parvis-menton-fr-3751875/,"2 quai de Monleon, 06500 Menton",06 69 79 40 80,,,Restauration rapide,images/Café_du_Parvis.jpg
A boire et à manger,https://www.menton-riviera-merveilles.fr/offres/restaurant-a-boire-et-a-manger-menton-fr-3051222/,"5 rue du Vieux Collège, 06500 Menton",04 93 17 87 84,https://www.instagram.com/aboireamanger_/,,Cuisine traditionnelle française,images/A_boire_et_à_manger.jpg
La Casa des Merveilles,https://www.menton-riviera-merveilles.fr/offres/la-casa-des-merveilles-la-brigue-fr-3421799/,"Rue Louis Bourguet, 06430 La Brigue",,,,Cuisine espagnole,images/La_Casa_des_Merveilles.jpg
Le Palais des Papilles,https://www.menton-riviera-merveilles.fr/offres/le-palais-des-papilles-moulinet-fr-4312816/,"8 rue Carnot, 06380 Moulinet",06 45 63 39 81,,,Restauration rapide,images/Le_Palais_des_Papilles.jpg
chez Tonton,https://www.menton-riviera-merveilles.fr/offres/restaurant-chez-tonton-menton-fr-5011794/,"17 avenue cernuschi, 06500 Menton",09 77 96 97 87,https://www.chez-tonton-kebab.fr/,,Cuisine orientale,images/chez_Tonton.jpg
de hamburgers Idéal Tacos,https://www.menton-riviera-merveilles.fr/offres/restaurant-de-hamburgers-ideal-tacos-menton-fr-3051851/,"1 avenue carnot, 06500 Menton",04 93 84 07 08,https://www.idealtacos.fr/,,Cuisine orientale,images/de_hamburgers_Idéal_Tacos.jpg
Les Gascons,https://www.menton-riviera-merveilles.fr/offres/restaurant-les-gascons-menton-fr-5313945/,"21 place du Cap, 06500 Menton",04 93 35 45 65,https://bonsrestaurants.fr/restaurants/les-gascons-menton/,,Cuisine traditionnelle française,images/Les_Gascons.jpg
Premium Kebab,https://www.menton-riviera-merveilles.fr/offres/restaurant-premium-kebab-beausoleil-fr-3051891/,"29 boulevard de la République, 06240 Beausoleil",04 93 97 40 91,,,Cuisine Moyen Orient,images/Premium_Kebab.jpg
Elsa,https://www.menton-riviera-merveilles.fr/offres/restaurant-elsa-roquebrune-cap-martin-fr-3052089/,"Hôtel Monte-Carlo Beach, Avenue Princesse Grace, 06190 Roquebrune-Cap-Martin",00 377 98 06 50 05,http://fr.monte-carlo-beach.com/restaurants-bars/elsa/,,Cuisine méditerranéenne,images/Elsa.jpg
le 5,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-5-menton-fr-3051787/,"5 rue de la République, 06500 Menton",04 92 41 81 81,,,Brasserie,images/le_5.jpg
